"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 26 11:29:33 CST 2019","Thu Dec 26 11:29:39 CST 2019","6000","All Test Suite","C:/Users/bay/IdeaProjects/shoppingOnTaobao/src/main/java/testCases/CaseLogin.java","testCases.CaseLogin","testCases.CaseLogin","loginCase","loginCase","Allure描述"
"passed","Thu Dec 26 11:29:46 CST 2019","Thu Dec 26 11:29:50 CST 2019","4365","All Test Suite","C:\Users\bay\IdeaProjects\shoppingOnTaobao\src\main\java\testCases\CaseShopping.java","testCases.CaseShopping","testCases.CaseShopping","shopingCase","shopingCase",""
